モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26x-pose,2,"{150: [0, 179, 0, 34, 21], 151: [0, 0, 0, 0, 3]}","{150: [0.0, 0.765, 0.0, 0.145, 0.09], 151: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26x-pose,1,"{154: [0, 499, 13, 0, 7]}","{154: [0.0, 0.961, 0.025, 0.0, 0.013]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{160: [0, 88, 0, 19, 6]}","{160: [0.0, 0.779, 0.0, 0.168, 0.053]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26x-pose,1,"{161: [471, 0, 0, 0, 0]}","{161: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26x-pose,1,"{163: [389, 71, 0, 33, 0]}","{163: [0.789, 0.144, 0.0, 0.067, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26x-pose,2,"{166: [447, 84, 0, 16, 0], 169: [0, 0, 0, 0, 5]}","{166: [0.817, 0.154, 0.0, 0.029, 0.0], 169: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{170: [571, 0, 0, 0, 0]}","{170: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{177: [235, 39, 0, 5, 0]}","{177: [0.842, 0.14, 0.0, 0.018, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26x-pose,2,"{180: [0, 682, 13, 0, 10], 186: [24, 0, 0, 0, 0]}","{180: [0.0, 0.967, 0.018, 0.0, 0.014], 186: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26x-pose,2,"{187: [19, 524, 13, 34, 8], 188: [0, 0, 0, 0, 2]}","{187: [0.032, 0.876, 0.022, 0.057, 0.013], 188: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26x-pose,1,"{189: [26, 511, 0, 31, 0]}","{189: [0.046, 0.9, 0.0, 0.055, 0.0]}",data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,2,"{194: [13, 699, 1, 0, 6], 204: [37, 0, 0, 0, 0]}","{194: [0.018, 0.972, 0.001, 0.0, 0.008], 204: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{205: [0, 251, 0, 0, 9]}","{205: [0.0, 0.965, 0.0, 0.0, 0.035]}",data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26x-pose,1,"{207: [625, 0, 0, 0, 0]}","{207: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
