モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26s-pose,1,"{97: [730, 0, 3, 0, 0]}","{97: [0.996, 0.0, 0.004, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26s-pose,1,"{101: [144, 126, 0, 31, 0]}","{101: [0.478, 0.419, 0.0, 0.103, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26s-pose,1,"{103: [0, 428, 0, 0, 0]}","{103: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26s-pose,1,"{104: [0, 200, 0, 16, 5]}","{104: [0.0, 0.905, 0.0, 0.072, 0.023]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26s-pose,1,"{106: [0, 185, 0, 32, 19]}","{106: [0.0, 0.784, 0.0, 0.136, 0.081]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26s-pose,2,"{109: [0, 510, 1, 0, 5], 110: [0, 2, 0, 0, 0]}","{109: [0.0, 0.988, 0.002, 0.0, 0.01], 110: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26s-pose,1,"{111: [0, 91, 0, 16, 2]}","{111: [0.0, 0.835, 0.0, 0.147, 0.018]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26s-pose,1,"{113: [466, 0, 0, 0, 0]}","{113: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26s-pose,1,"{119: [387, 81, 0, 22, 0]}","{119: [0.79, 0.165, 0.0, 0.045, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26s-pose,2,"{123: [415, 116, 0, 28, 0], 129: [0, 14, 0, 0, 0]}","{123: [0.742, 0.208, 0.0, 0.05, 0.0], 129: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26s-pose,2,"{131: [552, 12, 4, 0, 0], 133: [2, 0, 0, 0, 0]}","{131: [0.972, 0.021, 0.007, 0.0, 0.0], 133: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26s-pose,1,"{136: [234, 38, 0, 7, 0]}","{136: [0.839, 0.136, 0.0, 0.025, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
